STATE|STATEFP|COUNTYFP|COUNTYNS|COUNTYNAME|CLASSFP|FUNCSTAT
TX|48|1|1383786|Anderson County|H1|A
TX|48|3|1383787|Andrews County|H1|A
TX|48|5|1383788|Angelina County|H1|A
TX|48|7|1383789|Aransas County|H1|A
TX|48|9|1383790|Archer County|H1|A
TX|48|11|1383791|Armstrong County|H1|A
TX|48|13|1383792|Atascosa County|H1|A
TX|48|15|1383793|Austin County|H1|A
TX|48|17|1383794|Bailey County|H1|A
TX|48|19|1383795|Bandera County|H1|A
TX|48|21|1383796|Bastrop County|H1|A
TX|48|23|1383797|Baylor County|H1|A
TX|48|25|1383798|Bee County|H1|A
TX|48|27|1383799|Bell County|H1|A
TX|48|29|1383800|Bexar County|H1|A
TX|48|31|1383801|Blanco County|H1|A
TX|48|33|1383802|Borden County|H1|A
TX|48|35|1383803|Bosque County|H1|A
TX|48|37|1383804|Bowie County|H1|A
TX|48|39|1383805|Brazoria County|H1|A
TX|48|41|1383806|Brazos County|H1|A
TX|48|43|1383807|Brewster County|H1|A
TX|48|45|1383808|Briscoe County|H1|A
TX|48|47|1383809|Brooks County|H1|A
TX|48|49|1383810|Brown County|H1|A
TX|48|51|1383811|Burleson County|H1|A
TX|48|53|1383812|Burnet County|H1|A
TX|48|55|1383813|Caldwell County|H1|A
TX|48|57|1383814|Calhoun County|H1|A
TX|48|59|1383815|Callahan County|H1|A
TX|48|61|1383816|Cameron County|H1|A
TX|48|63|1383817|Camp County|H1|A
TX|48|65|1383818|Carson County|H1|A
TX|48|67|1383819|Cass County|H1|A
TX|48|69|1383820|Castro County|H1|A
TX|48|71|1383821|Chambers County|H1|A
TX|48|73|1383822|Cherokee County|H1|A
TX|48|75|1383823|Childress County|H1|A
TX|48|77|1383824|Clay County|H1|A
TX|48|79|1383825|Cochran County|H1|A
TX|48|81|1383826|Coke County|H1|A
TX|48|83|1383827|Coleman County|H1|A
TX|48|85|1383828|Collin County|H1|A
TX|48|87|1383829|Collingsworth County|H1|A
